id,name,associated_reactions
G_STM4279,nrfC,[]
G_STM3720,yibR,[]
G_STM0134,lpxC,[]
G_STM4277,nrfA,[]
G_STM2817,luxS,[]
G_STM4280,nrfD,[]
G_STM3241,tdcE,[]
G_STM3883,rbsC,[]
G_STM3881,rbsD,[]
G_STM4416,mpl,[]
G_STM0973,pflB,[]
G_STM0218,pyrH,[]
G_STM3882,rbsA,[]
G_STM2646,yfiD,[]
G_STM3884,rbsB,[]
G_STM2298,pmrF,[]
G_STM0970,pflA,[]
G_STM3936,hemX,[]
G_STM4047,rhaB,[]
G_STM3305,ispB,[]
G_STM4045,rhaD,[]
G_STM3937,hemD,[]
G_STM0977,serC,[]
G_STM0671,ubiF,[]
G_STM2498,upp,[]
G_STM2278,nrdB,[]
G_STM1707,pyrF,[]
G_STM2807,nrdE,[]
G_STM2808,nrdF,[]
G_STM2497,uraA,[]
G_STM0528,allD,[]
G_STM3057,ubiH,[]
G_STM0535,lpxH,[]
G_STM2277,nrdA,[]
G_STM2356,ubiX,[]
G_STM3978,yigC,[]
G_STM3972,aarF,[]
G_STM4451,nrdG,[]
G_STM4475,valS,[]
G_STM0701,speF,[]
G_STM3665,avtA,[]
G_STM4452,nrdD,[]
G_STM3483,rpe,[]
G_STM3114,speC,[]
G_STM4080,STM4080,[]
G_STM4387,sgaU,[]
G_STM3733,pyrE,[]
G_STM3661,xylA,[]
G_STM1617,STM1617,[]
G_STM2309,menD,[]
G_STM1933,STM1933,[]
G_STM3671,yiaM,[]
G_STM1124,putA,[]
G_STM3672,yiaN,[]
G_STM3063,rpiA,[]
G_STM0386,proC,[]
G_STM0310,ghmA,[]
G_STM3673,yiaO,[]
G_STM0181,panC,[]
G_STM0042,STM0042,[]
G_STM1306,astB,[]
G_STM1710,pgpB,[]
G_STM0125,mraY,[]
G_STM1893,znuB,[]
G_STM2946,cysH,[]
G_STM1891,znuA,[]
G_STM2934,cysN,[]
G_STM2935,cysD,[]
G_STM0153,aceF,[]
G_STM2835,srlD,[]
G_STM4167,hemE,[]
G_STM2832,srlA,[]
G_STM2833,srlE,[]
G_STM2834,slrB,[]
G_STM4159,thiH,[]
G_STM0425,thiI,[]
G_STM4162,thiF,[]
G_STM4066,STM4066,[]
G_STM4160,thiG,[]
G_STM2483,dapE,[]
